Target Gene,Target Gene (Entrez Gene ID),mir_target
CSHL1,1444,0
CRHBP,1393,0
E2F6,1876,1
NIPSNAP2,2631,1
SLC35F6,54978,1
CD24,100133941,1
NUP58,9818,1
MYBL1,4603,1
KLHL12,59349,1
HERPUD1,9709,1
LUC7L2,51631,1
LMNB1,4001,1
MKRN1,23608,1
FYCO1,79443,1
CD83,9308,1
GBP3,2635,1
RNF149,284996,1
TNFAIP1,7126,1
STX11,8676,1
FITM2,128486,1
GPSM2,29899,1
CENPF,1063,1
TUSC2,11334,1
INSIG2,51141,1
GLTP,51228,1
RELA,5970,1
PRC1,9055,1
BAZ1A,11177,1
USP12,219333,1
NIN,51199,1
TBC1D2,55357,1
TFAP4,7023,1
TMEM14A,28978,1
STK4,6789,1
ZNF226,7769,1
HSPA14,51182,1
MFSD4B,91749,1
SLC25A23,79085,1
C9orf78,51759,1
MICA,100507436,1
KDM1B,221656,1
MED28,80306,1
ADAM9,8754,1
TTC8,123016,1
ZHX1,11244,1
DFFB,1677,1
TRIM29,23650,1
PARP16,54956,1
ARPC1B,10095,1
EYA4,2070,1
TARBP1,6894,1
MAD2L2,10459,1
G3BP1,10146,1
CPNE3,8895,1
SLC17A5,26503,1
DHCR24,1718,1
ACTR8,93973,1
MYH9,4627,1
ELF4,2000,1
MAPK1IP1L,93487,1
CDCA7,83879,1
SLC15A4,121260,1
STOM,2040,1
MTMR6,9107,1
POLR3G,10622,1
ANXA8,653145,1
OSBPL8,114882,1
BTG3,10950,1
USP48,84196,1
PTTG1IP,754,1
PGM1,5236,1
CYP1B1,1545,1
TOM1L1,10040,1
NFIC,4782,1
RYK,6259,1
CTGF,1490,1
CHSY1,22856,1
GNG10,2790,1
GMCL1P1,64396,0
MAPK14,1432,1
NEK6,10783,1
MAN2A1,4124,1
CTDSP2,10106,1
BLOC1S6,26258,1
DEPDC1,55635,1
KATNA1,11104,1
SLC22A5,6584,1
RASSF5,83593,1
TNFRSF21,27242,1
DCTD,1635,1
CD59,966,1
HTATIP2,10553,1
ALDH9A1,223,1
SSFA2,6744,1
NEK9,91754,1
PAPSS2,9060,1
ANKRD27,84079,1
APEX2,27301,1
GSN,2934,1
SLC30A7,148867,1
HEBP2,23593,1
AHRR,57491,1
GINM1,116254,1
SERPINB6,5269,1
DVL2,1856,1
AHR,196,1
PLP2,5355,1
CTNND1,1500,1
RHOV,171177,1
ACAA2,10449,1
NME4,4833,1
MDFIC,29969,1
DNM2,1785,1
PGRMC2,10424,1
FAM35A,54537,1
ZBED3,84327,1
B4GALT1,2683,1
MPHOSPH9,10198,1
GTPBP8,29083,1
F11R,50848,1
GNAI3,2773,1
SLC25A30,253512,1
SERP1,27230,1
PHF19,26147,1
INO80C,125476,1
STX2,2054,1
TRIP11,9321,1
TLN1,7094,1
SWAP70,23075,1
ARHGEF1,9138,1
ELOVL1,64834,1
IQGAP1,8826,1
ABHD5,51099,1
RNPEPL1,57140,1
STX10,8677,1
TEAD1,7003,1
FAM177A1,283635,1
FCHO2,115548,1
CREB3L2,64764,1
AK2,204,1
TTC7A,57217,1
HADHB,3032,1
LRRC1,55227,1
TWIST2,117581,1
AP1M2,10053,1
SNAI2,6591,1
SYNGR2,9144,1
TJP2,9414,1
DNAJC1,64215,1
CDCA7L,55536,1
SHC3,53358,1
CERS2,29956,1
LITAF,9516,1
CTDSP1,58190,1
CD164,8763,1
ITGB1,3688,1
ZNF264,9422,1
GCFC2,6936,1
OAT,4942,1
CLCN3,1182,1
POLR2K,5440,0
EPB41L4B,54566,1
DHX15,1665,1
LZTFL1,54585,1
ARF3,377,1
OSBPL7,114881,0
HIST1H3B,8358,1
SH2D4A,63898,1
TRIM2,23321,1
PLEKHG2,64857,1
RABL2B,11158,1
XPO6,23214,1
ARCN1,372,1
FBLN2,2199,1
PLEKHB2,55041,1
AXL,558,1
POGK,57645,1
BLCAP,10904,1
MXD4,10608,1
SHTN1,57698,1
EML4,27436,1
PGM2,55276,1
TRAPPC3,27095,1
MGC27345,157247,0
GCH1,2643,1
SERPINB5,5268,1
ANKRD29,147463,1
TDP1,55775,1
TPM4,7171,1
PREX1,57580,1
RNF138,51444,1
TAGLN2,8407,1
CHST11,50515,1
RABL2A,11159,1
LIN7C,55327,1
SDC4,6385,1
RABGAP1L,9910,1
CAP1,10487,1
DDX5,1655,1
SLC16A9,220963,1
ARHGEF18,23370,1
INPP5F,22876,1
NELFCD,51497,1
ANKIB1,54467,1
LASP1,3927,1
HPS4,89781,1
UST,10090,1
RAB11FIP2,22841,1
PTMAP7,326626,0
MMD,23531,1
NETO2,81831,1
GNPDA2,132789,1
PXYLP1,92370,1
MTX1,4580,1
ADAR,103,1
ARF4,378,1
UHMK1,127933,1
GAS2L1,10634,0
RFFL,117584,1
ZFP36L2,678,1
PLSCR3,57048,1
CAPRIN2,65981,1
SENP8,123228,1
NFATC1,4772,1
NID1,4811,1
KCNE1,3753,1
KCNQ1,3784,1
ERBB3,2065,1
HOXA7,3204,1
HOXD8,3234,1
HOXC8,3224,1
LAMC2,3918,1
DMTF1,9988,1
CLOCK,9575,1
G6PD,2539,1
RERE,473,1
CRK,1398,1
TAC1,6863,1
CCNG1,900,1
MAP3K12,7786,1
MEF2D,4209,1
ITGA5,3678,1
ABL1,25,1
GRIA2,2891,1
VSNL1,7447,1
UBE2Q1,55585,1
NOVA1,4857,1
MAP1A,4130,1
DAB2IP,153090,1
ZBTB18,10472,1
TLR4,7099,1
GTF2B,2959,1
ANK2,287,1
NFATC2IP,84901,1
ENTPD4,9583,1
ANXA11,311,1
ALDOA,226,1
RAB6B,51560,1
RAB11FIP1,80223,1
NCAM1,4684,1
UBAP2,55833,1
TBX19,9095,1
AACS,65985,1
DUSP2,1844,1
ATP1A2,477,1
MAPK11,5600,1
FUNDC2,65991,1
AKT3,10000,1
TPD52L2,7165,1
GALNT10,55568,1
G6PC3,92579,1
AP3M2,10947,1
FOXJ3,22887,1
SLC7A11,23657,1
TRIB1,10221,1
EGLN3,112399,1
NUMBL,9253,1
ADAM17,6868,1
PTPN1,5770,1
P4HB,5034,1
UBQLN1,29979,1
SERTAD2,9792,1
SEH1L,81929,1
MID1IP1,58526,1
MDGA1,266727,1
MYORG,57462,1
ISCU,23479,1
HOXA3,3200,1
GPD1L,23171,1
DENND6A,201627,1
CPEB2,132864,1
CDK10,8558,1
ABCB9,23457,1
CBX1,10951,1
XIST,7503,1
TNPO1,3842,1
SMCHD1,23347,1
PTAR1,375743,1
NIPBL,25836,1
MIB1,57534,1
HECTD1,25831,1
ELK3,2004,1
DDAH1,23576,1
CLASP2,23122,0
CHD9,80205,1
ATP11C,286410,1
ACVR1B,91,1
NFKB1,4790,1
ABCC1,4363,1
SOX6,55553,1
NOTCH4,4855,1
MAP3K2,10746,1
ATM,472,1
EGR2,1959,1
ITPR1,3708,1
MAP2K1,5604,1
PIAS1,8554,1
FGFR1,2260,1
ARPC5L,81873,1
RASA1,5921,1
AP2M1,1173,1
NIT1,4817,1
FOSB,2354,1
NCOA6,23054,1
INPPL1,3636,1
MED1,5469,1
MAPK9,5601,1
GNAI2,2771,1
BRD3,8019,1
UBAP1,51271,1
FAF1,11124,1
RPS6,6194,1
UBE2I,7329,1
CD276,80381,1
TRIB3,57761,1
HNF4A,3172,1
DDIT4,54541,1
BNIP3L,665,1
TBK1,29110,1
DKK2,27123,1
CREBZF,58487,1
BRAP,8315,1
USP18,11274,1
ARIH2,10425,1
BBC3,27113,1
HMGXB4,10042,1
ST14,6768,1
CD40,958,1
ID1,3397,1
FGFR3,2261,1
FGF7,2252,1
IKBKE,9641,1
MAP3K3,4215,1
AGO4,192670,1
ATP6V1B2,526,1
LARP4,113251,1
CNN3,1266,1
ERBB4,2066,1
NR4A2,4929,1
FSCN1,6624,1
MEIS2,4212,1
PTPN11,5781,1
CASP3,836,1
IBSP,3381,1
BGLAP,632,1
RUNX2,860,1
EP300,2033,1
SFRP2,6423,1
DKK1,22943,1
MEOX2,4223,1
PROX1,5629,1
STARD10,10809,1
PRKCE,5581,1
ABCA1,19,1
NFE2L1,4779,1
MAFG,4097,1
DSTYK,25778,1
FAM117B,150864,1
ELAVL1,1994,1
S100B,6285,1
IMPDH1,3614,1
LIN28A,79727,1
TFRC,7037,1
TNFSF10,8743,1
MAPK7,5598,1
HDAC1,3065,1
HDAC8,55869,1
ARHGAP29,9411,1
CDK14,5218,1
MTMR12,54545,1
PNP,4860,1
CCSAP,126731,1
XPNPEP3,63929,1
FAM57A,79850,1
TNS4,84951,1
SLC44A1,23446,1
IFT52,51098,0
SRXN1,140809,1
AR,367,1
SMAD4,4089,1
IRS2,8660,1
PCGF5,84333,1
PDIK1L,149420,1
UBXN1,51035,1
PIPOX,51268,0
RAD51,5888,1
PEX13,5194,1
CPNE6,9362,1
WDR6,11180,1
ABCC3,8714,1
USO1,8615,1
ZNF302,55900,0
FBXW7,55294,1
IKBKB,3551,1
FBN1,2200,1
CDK19,23097,1
LIN28B,389421,1
ATP6V0E1,8992,1
CMTM4,146223,1
TMEM9B,56674,1
RBM47,54502,1
C1orf56,54964,1
C12orf49,79794,1
IP6K2,51447,1
CNOT6,57472,1
KLHL42,57542,1
KIF2A,3796,1
POU4F2,5458,1
WIPF1,7456,1
VPS45,11311,1
HSP90B1,7184,1
SKAP2,8935,1
NT5DC1,221294,1
FAM69A,388650,1
C2orf74,339804,0
FAM122C,159091,0
PWWP2A,114825,1
C17orf80,55028,1
PRIMPOL,201973,1
LDAH,60526,1
HPF1,54969,0
NIPAL2,79815,1
TRMT13,54482,1
CADM1,23705,1
MLEC,9761,1
TMEM184B,25829,1
PIK3R2,5296,1
USF2,7392,1
MED13,9969,1
MRE11,4361,1
XPA,7507,1
CD274,29126,1
ARHGAP32,9743,1
NFIA,4774,1
EIF3J,8669,1
PACRGL,133015,1
TEX30,93081,1
TMEM263,90488,1
ANKRD13B,124930,1
FN1,2335,1
CSK,1445,1
CCNL1,57018,1
COX2,4513,1
LGALS3,3958,1
HSPD1,3329,1
HSPA4,3308,1
MAPK1,5594,1
AKT1,207,1
MAPK8,5599,1
API5,8539,1
TERT,7015,1
SRSF10,10772,1
MKNK2,2872,1
PPARG,5468,1
PTK2,5747,1
NCOA2,10499,1
VCAM1,7412,1
FBN2,2201,1
PA2G4,5036,1
SELE,6401,1
ICAM1,3383,1
GLUL,2752,1
SRSF11,9295,1
RAF1,5894,1
ARID4B,51742,1
TMBIM1,64114,1
PPP1R13L,10848,1
PPM1D,8493,1
YY1,7528,1
SLC15A1,6564,1
GALNT1,2589,1
ETV6,2120,1
CD34,947,1
CRIM1,51232,1
CKAP4,10970,1
CNOT8,9337,1
CAPZA1,829,1
PFN2,5217,1
PSME3,10197,1
MARCH4,57574,1
PLEC,5339,1
UBE2F,140739,1
SUZ12,23512,1
EED,8726,1
CUX1,1523,1
BCAT1,586,1
TSC22D4,81628,1
NAA15,80155,1
PIK3R1,5295,1
ITGB8,3696,1
MAGEA12,4111,1
MAGEA6,4105,1
MAGEA3,4102,1
